1AAAPASSAAAApplication  open successfully  & URL is: https://dynamics-mock.toastmasters.org/AAA10:56:22AAA10:56:53AAA31
3AAAFAILAAALogin functionality not working with valid credential.AAA10:56:54AAA10:57:50AAA56
34AAAPASSAAAUser Successfully landing on Club Event page.AAA10:57:51AAA10:58:17AAA26
nullAAAFAILAAAUser unable to edits event.AAA10:58:17AAA10:59:34AAA77
nullAAAFAILAAAUser unable to apply filter.AAA10:59:34AAA10:59:57AAA23
